,container_type,filled,scholar_id,source,name,url_picture,affiliation,interests,email_domain,homepage,citedby,organization,org_name,org_country
1019,Author,['basics'],Pa5hTkkAAAAJ,AUTHOR_PROFILE_PAGE,Yuanzhe Chen,,Hong Kong University of Science and Technology,"['Visual Analytics', 'Interactive machine learning']",@connect.ust.hk,http://home.cse.ust.hk/~ychench/,939,9568810911513724267,Hong Kong University of Science and Technology,Hong Kong
1020,Author,['basics'],m7_X6h4AAAAJ,AUTHOR_PROFILE_PAGE,Zhensheng Zhang,,Bell Labs,"['wireless networks', 'optical networks', 'peer to peer', 'cloud computing']",@ieee.org,,4911,,,
1021,Author,['basics'],9vgZNKsAAAAJ,AUTHOR_PROFILE_PAGE,Dickson K W Chiu,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=9vgZNKsAAAAJ&citpid=2,The University of Hong Kong,"['e-services', 'library science', 'LIS', 'e-business', 'm-learning']",@hku.hk,,8477,2533886145175476393,University of Hong Kong,Hong Kong
1022,Author,['basics'],z3LO5ysAAAAJ,AUTHOR_PROFILE_PAGE,Alexander Pott,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=z3LO5ysAAAAJ&citpid=14,"Otto von Guericke University,  Faculty of Mathematics",[],@ovgu.de,http://fma2.math.uni-magdeburg.de/~pott/,3618,15081506436604616384,Otto-von-Guericke University Magdeburg,Germany
1023,Author,['basics'],Rx5swD4AAAAJ,AUTHOR_PROFILE_PAGE,Wenjie Li,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Rx5swD4AAAAJ&citpid=9,The Hong Kong Polytechnic University,"['Text Summarization', 'Natural Language Understanding', 'Natural Language Generation']",@comp.polyu.edu.hk,http://www.comp.polyu.edu.hk/~cswjli,13207,10969585421171712084,Hong Kong Polytechnic University,Hong Kong
1024,Author,['basics'],QZj64KoAAAAJ,AUTHOR_PROFILE_PAGE,Sai Sandeep,,Postdoc at  UC Berkeley,[],@berkeley.edu,,198,11816294095661060495,"University of California, Berkeley",USA
1025,Author,['basics'],7ZGHT4oAAAAJ,AUTHOR_PROFILE_PAGE,Hanrong Shi,,Zhejiang University,['computer vision'],@zju.edu.cn,,17,1118375729466322660,Zhejiang University,China
1026,Author,['basics'],CCki0Q4AAAAJ,AUTHOR_PROFILE_PAGE,Hejun Wu,,Sun Yat-sen University,"['Wireless Sensor Networks', 'Machine Learning', 'Robotics']",@mail.sysu.edu.cn,http://cse.sysu.edu.cn/node/2554,1466,8846640109879222335,Sun Yat-sen University,China
1027,Author,['basics'],lhR8-68AAAAJ,AUTHOR_PROFILE_PAGE,Dongyan Zhao,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=lhR8-68AAAAJ&citpid=1,Peking University,"['Natural Language Processing', 'Semantic Data Management', 'QA', 'Dialogue System']",@pku.edu.cn,,10537,10725744176602846184,Peking University,China
1028,Author,['basics'],ZbqGJ_YAAAAJ,AUTHOR_PROFILE_PAGE,Jingao Xu,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=ZbqGJ_YAAAAJ&citpid=2,Tsinghua University,"['Mobile Computing', 'Internet of Things', 'Edge Computing', 'Visual SLAM Systems']",@mails.tsinghua.edu.cn,http://tns.thss.tsinghua.edu.cn/~jingao/,365,15442380624744264287,Tsinghua University,China
1029,Author,['basics'],zxVy7sIAAAAJ,AUTHOR_PROFILE_PAGE,Dong Zhang,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=zxVy7sIAAAAJ&citpid=20,"Research Assistant Professor, HKUST","['Machine Learning', 'Computer Vision', 'Medical Image Analysis', 'Semantic Segmentation', 'Object Detection']",@ust.hk,https://dongzhang89.github.io/,966,9568810911513724267,Hong Kong University of Science and Technology,Hong Kong
1030,Author,['basics'],tWew360AAAAJ,AUTHOR_PROFILE_PAGE,Zheng Wang,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=tWew360AAAAJ&citpid=3,"University of Michigan, Ann Arbor","['Machine Learning', 'Data Mining', 'Social Computing']",@umich.edu,https://sites.google.com/site/wangzheng04/,1510,4770128543809686866,University of Michigan,USA
1031,Author,['basics'],i6qyNzcAAAAJ,AUTHOR_PROFILE_PAGE,Joseph Kee-Yin Ng,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=i6qyNzcAAAAJ&citpid=1,"Professor of Department of Computer Science, Hong Kong Baptist University","['Real-Time Communications', 'Ubiquitous/Pervasive Computing', 'Multimedia', 'Location Estimation', 'Delay Analysis']",@comp.hkbu.edu.hk,http://www.comp.hkbu.edu.hk/~jng,2778,5456512267249917973,Hong Kong Baptist University,Hong Kong
1032,Author,['basics'],VaAEb5YAAAAJ,AUTHOR_PROFILE_PAGE,Baishakhi Ray,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=VaAEb5YAAAAJ&citpid=8,"Associate Professor, Columbia University","['Software Engineering', 'Machine Learning', 'AI4Code', 'AI4SE', 'SE4AI']",@cs.columbia.edu,http://rayb.info/,7411,8867661471528740601,Columbia University,USA
1033,Author,['basics'],kPZVXzoAAAAJ,AUTHOR_PROFILE_PAGE,Jingbo Liu,,Hong Kong University of Science and Technology,"['Computer Graphics', 'Vision', 'HCI']",@ust.hk,http://jingbo.weebly.com/,186,9568810911513724267,Hong Kong University of Science and Technology,Hong Kong
1034,Author,['basics'],uy-fMdsAAAAJ,AUTHOR_PROFILE_PAGE,JIN ZHANG,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=uy-fMdsAAAAJ&citpid=5,"Department of Computer Science and Engineering, Southern University of Science and Technology","['Mobile Computing', 'Smart Sensing', 'Mobile Healthcare', 'Wireless Network', 'Crowdsensing']",@sustech.edu.cn,,4012,,,
1035,Author,['basics'],81cvn3sAAAAJ,AUTHOR_PROFILE_PAGE,Yannis Papakonstantinou,,UCSD,[],@eng.ucsd.edu,,20266,7549334305653538480,"University of California, San Diego",USA
1036,Author,['basics'],jZgjlGUAAAAJ,AUTHOR_PROFILE_PAGE,Lei Zou,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=jZgjlGUAAAAJ&citpid=2,Professor at Peking University,"['graph database', 'RDF data management', 'Knowledge Graph']",@pku.edu.cn,https://www.wict.pku.edu.cn/zoulei/,5099,10725744176602846184,Peking University,China
1037,Author,['basics'],ytXtLjkAAAAJ,AUTHOR_PROFILE_PAGE,Biswanath Mukherjee,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=ytXtLjkAAAAJ&citpid=2,"Distinguished Professor at University of California, Davis","['Networks', 'Optical Networks', 'Broadband Access', 'Network Security', 'Disaster Resilience']",@ucdavis.edu,http://networks.cs.ucdavis.edu/bmukherjee.html,61766,21288157106126462,"University of California, Davis",USA
