container_type,filled,scholar_id,source,name,url_picture,affiliation,interests,email_domain,homepage,citedby,organization,org_name,org_country,Lat,Long,,,,,list,,
Author,['basics'],epB593kAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Jiahui Li,,Zhejiang University,"['MARL', 'Explainable AI']",@zju.edu.cn,,56,1.12E+18,Zhejiang University,China,35.86166,104.195396,,,,,Iran,,104.195396
Author,['basics'],7dm-4DUAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Patrick Sole,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=7dm-4DUAAAAJ&citpid=1,CNRS,"['Coding Theory', 'Boolean functions', 'algebraic Combinatorics', 'analytic number theory']",@enst.fr,https://www.researchgate.net/profile/Patrick-Sole,9824,,,,#N/A,#N/A,,,,,Brazil,,#N/A
Author,['basics'],JE_m2UgAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Sunghun Kim,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=JE_m2UgAAAAJ&citpid=2,"Associate Professor of Computer Science, The Hong Kong University of Science and Technology","['Software Engineering', 'Machine Learning', 'Deep Learning', 'Mining Software Repositories', 'Software Testing']",@cse.ust.hk,http://www.cse.ust.hk/~hunkim,18136,9.57E+18,Hong Kong University of Science and Technology,Hong Kong,22.396427,114.109497,,,,,Belgium,,114.109497
Author,['basics'],fGe8Dh8AAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Yulin Che (yche),https://scholar.googleusercontent.com/citations?view_op=view_photo&user=fGe8Dh8AAAAJ&citpid=3,Hong Kong University of Sicence and Technology,"['Parallel Computing', 'Graph Algorithms']",@connect.ust.hk,http://blog.cheyulin.me/?page_id=571,197,,,,#N/A,#N/A,,,,,Saudi Arabia,,#N/A
Author,['basics'],kv0zqJYAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Zhaoyuan Fu,,Dana-Farber Cancer Institute,[],,,16,,,,#N/A,#N/A,,,,,,,#N/A
Author,['basics'],ilfwfuUAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Maggie Lieu,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=ilfwfuUAAAAJ&citpid=2,University of Nottingham,"['Cosmology', 'Galaxy Clusters', 'Weak Gravitational Lensing', 'Bayesian Inference', 'Machine learning']",@nottingham.ac.uk,http://www.maggielieu.com/,1371,1.46E+19,University of Nottingham,UK,55.378052,-3.435973,USA,,,,,,-3.435973
Author,['basics'],q9jP2y4AAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Xiao Liu,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=q9jP2y4AAAAJ&citpid=2,Research Scientist @ Facebook,"['Program Synthesis', 'Software Engineering']",@fb.com,,456,1.98E+18,Facebook Inc.,USA,37.09024,-95.712891,Singapore,,,,,,-95.712891
Author,['basics'],R65xDQwAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Xiaogang Xu,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=R65xDQwAAAAJ&citpid=2,Zhejiang Lab & Zhejiang University,"['Artificial intelligence', 'Multi-Modality AI', 'Generative Model', 'Low-Level Vision', 'AI Security']",@zhejianglab.com,https://xiaogang00.github.io/,1327,,,,#N/A,#N/A,Hong Kong,,,,,,#N/A
Author,['basics'],DEjebZkAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Shaoshi Ling,,Microsoft,"['NLP', 'ASR', 'Speech']",@microsoft.com,,311,1.23E+19,Microsoft Corporation,USA,37.09024,-95.712891,China,,,,,,-95.712891
Author,['basics'],1M00Yg8AAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Fengwei Zhou,,OPPO,"['hyperplane arrangements', 'arithmetic matroids', 'meta-learning', 'few-shot learning', 'data augmentation']",@connect.ust.hk,,1663,,,,#N/A,#N/A,Cyprus,,,,,,#N/A
Author,['basics'],TctbYXkAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Lili Wei,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=TctbYXkAAAAJ&citpid=3,Assistant Professor at McGill University,"['Software Engineering', 'Software Testing', 'Software Analysis', 'Android']",@mcgill.ca,https://liliweise.github.io/,517,1.38E+19,McGill University,Canada,56.130367,-106.346771,Austria,,,,,,-106.346771
Author,['basics'],U0rJDP0AAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Haoyu Wang,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=U0rJDP0AAAAJ&citpid=10,"University of Pennsylvania, Shanghai Jiao Tong University","['Natural Language Processing', 'Computer Vision', 'Knowledge Graph']",@seas.upenn.edu,https://why2011btv.github.io/,707,1.82E+19,University of Pennsylvania,USA,37.09024,-95.712891,UK,,,,,,-95.712891
Author,['basics'],rhLst94AAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Bharat Bhargava,,purdue,[],@purdue.edu,,17343,9.64E+18,Purdue University,USA,37.09024,-95.712891,Canada,,,,,,-95.712891
Author,['basics'],qVOHi9cAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Peng Liu,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=qVOHi9cAAAAJ&citpid=3,"Raymond G. Tronzo, M.D. Professor of Cybersecurity, Penn State University",['Systems Security - Privacy - IoT - Cyber-Physical Systems - Deep Learning'],@ist.psu.edu,http://s2.ist.psu.edu/pliu,14457,3.80E+17,Pennsylvania State University,USA,37.09024,-95.712891,Netherlands,,,,,,-95.712891
Author,['basics'],nhrlfywAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Koustubha Bhat,,"Vrije Universiteit, Amsterdam","['LLVM', 'Program Analysis', 'Operating Systems', 'Reliability', 'System Security']",@vu.nl,,107,1.33E+18,VU University Amsterdam,Netherlands,52.132633,5.291266,Greece,,,,,,5.291266
Author,['basics'],5Tr7OZoAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Ahmed K. Zaher,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=5Tr7OZoAAAAJ&citpid=3,Hong Kong University of Science and Technology,"['Parameterized Algorithms', 'Static Analysis']",@cse.ust.hk,https://ahmed-zaher.github.io/,4,9.57E+18,Hong Kong University of Science and Technology,Hong Kong,22.396427,114.109497,France,,,,,,114.109497
Author,['basics'],xV5nr2sAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Thanasis Loukopoulos,,"Associate Prof., Computer Science and Biomedical Informatics Dept., Univ. of Thessaly, Greece","['distributed systems', 'parallel processing', 'cloud computing', 'video compression', 'green computing']",@dib.uth.gr,,1404,4.52E+18,University of Thessaly,Greece,39.074207,21.824312,Switzerland,,,,,,21.824312
Author,['basics'],Q1mcglAAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Haixun Wang,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Q1mcglAAAAAJ&citpid=2,"VP of Engineering, Algorithm & Distinguished Scientist at Instacart","['Machine Learning', 'Data and knowledge engineering', 'NLP']",@instacart.com,https://haixun.github.io/,24574,,,,#N/A,#N/A,Italy,,,,,,#N/A
Author,['basics'],1HZGSB8AAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,kewei cheng,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=1HZGSB8AAAAJ&citpid=2,Ph.D. Student at UCLA,"['data mining', 'machine learning']",@g.ucla.edu,https://vivian1993.github.io/,3824,1.41E+19,"University of California, Los Angeles",USA,37.09024,-95.712891,South Korea,,,,,,-95.712891
